Epic,Story ID,Summary,Description,Story Points,Priority,PR,Labels
FE-SV-0,FE-SV-0.1,Descargar normativa y schemas MH v2.0,Crear Backend/docs/fe-sv/ con PDF normativa schemas JSON y catálogos v1.1 desde factura.gob.sv,3,Highest,PR-01,"fe-sv,dte,mh"
FE-SV-0,FE-SV-0.2,Matriz diff v1→v2 por tipo DTE,Documentar diff-v1-v2.md campo a campo para tipos 01-15,5,High,PR-01,"fe-sv,dte,mh"
FE-SV-0,FE-SV-0.3,Test harness FE SV,Crear config/fe_sv.php y tests placeholder para suite fe-sv,3,High,PR-01,"fe-sv,dte,test"
FE-SV-0,FE-SV-0.4,Plan deprecación MH.php legacy,ADR: unificar generación en ElSalvadorDteService + modelos MH*,2,Medium,PR-01,"fe-sv,refactor"
FE-SV-1,FE-SV-1.1,FEXE schema v2 + ventaTercero,MHFacturaExportacion version=2 nodo ventaTercero cuando compra por cuenta de terceros,8,Highest,PR-02,"fe-sv,fexe,v2.0"
FE-SV-1,FE-SV-1.2,Migración campos venta tercero,venta_por_cuenta_tercero venta_tercero_doc venta_tercero_nombre en ventas,3,Highest,PR-02,"fe-sv,database"
FE-SV-1,FE-SV-1.3,UI exportación venta tercero,Checkbox y campos en facturación exportación con validación sin guiones,5,Highest,PR-02,"fe-sv,frontend"
FE-SV-1,FE-SV-1.4,Import catálogos MH v1.1,Comando fe-sv:importar-catalogos + migración upsert CAT-012 013 014 017 019 020 027,8,Highest,PR-03,"fe-sv,catalogos"
FE-SV-1,FE-SV-1.5,Validación pre-emisión catálogos,ElSalvadorCatalogoValidationService bloquea códigos obsoletos antes de generar DTE,5,High,PR-03,"fe-sv,validation"
FE-SV-2,FE-SV-2.1,MHAnulacion schema v2.0,Actualizar MHAnulacion y PDF según evento invalidación v2.0,8,High,PR-04,"fe-sv,invalidacion"
FE-SV-2,FE-SV-2.2,Plazo invalidación 90 días,DteInvalidacionPlazoValidator para tipos 01 11 14 desde sello MH,5,High,PR-04,"fe-sv,invalidacion"
FE-SV-2,FE-SV-2.3,UX código reemplazo,Completar flujo codigoGeneracionR en UI anulación con error,3,Medium,PR-04,"fe-sv,frontend"
FE-SV-2,FE-SV-2.4,Entrega JSON+PDF obligatoria,Registrar entrega manual cuando receptor sin email dte_entregado_at,5,High,PR-04,"fe-sv,invalidacion"
FE-SV-2,FE-SV-2.5,PDF invalidación v2.0,Actualizar DTE-Anulado.blade.php a representación gráfica MH v2,3,Medium,PR-04,"fe-sv,pdf"
FE-SV-3,FE-SV-3.1,DteSchemaVersionResolver + flag empresa,Resolver version JSON por tipo y fe_sv_schema_version en empresas,8,High,PR-05,"fe-sv,architecture"
FE-SV-3,FE-SV-3.2,Migrar Factura 01 a v2.0,MHFactura + PDF + tests snapshot schema v2,13,High,PR-06,"fe-sv,dte-01"
FE-SV-3,FE-SV-3.3,Migrar CCF 03 a v2.0,MHCCF + PDF + tests,8,High,PR-07,"fe-sv,dte-03"
FE-SV-3,FE-SV-3.4,Migrar NC/ND 05/06 a v2.0,MHNotaCredito MHNotaDebito + PDFs,8,High,PR-07,"fe-sv,dte-05,dte-06"
FE-SV-3,FE-SV-3.5,Migrar FSEE 14 a v2.0,MHSujetoExcluidoCompra/Gasto + PDF,8,High,PR-07,"fe-sv,dte-14"
FE-SV-3,FE-SV-3.6,Emisión fecha posterior 5 días,DteFechaEmisionValidator + validación periodo tributario UI/backend,5,High,PR-08,"fe-sv,validation"
FE-SV-3,FE-SV-3.7,Timestamps dte_generado_at y dte_transmitido_at,Migración ventas devoluciones compras gastos + set en proxy MH,5,High,PR-08,"fe-sv,database"
FE-SV-3,FE-SV-3.8,Contingencia schema v2.0,MHContingencia actualizar version estructural,5,Medium,PR-14,"fe-sv,contingencia"
FE-SV-3,FE-SV-3.9,Número de control oct-2026,Adaptar generación numeroControl si MH confirma cambio,5,Low,PR-14,"fe-sv,mh"
FE-SV-4,FE-SV-4.1,Tabla y modelo dte_eventos,Migración dte_eventos + model DteEvento,5,High,PR-09,"fe-sv,eventos"
FE-SV-4,FE-SV-4.2,Evento Retorno backend,MHEventoRetorno + ElSalvadorDteEventoService + rutas API,13,High,PR-09,"fe-sv,eventos,retorno"
FE-SV-4,FE-SV-4.3,UI Evento Retorno,Acción Retorno en ventas FE/FEXE/FSEE emitidas,8,High,PR-09,"fe-sv,frontend,retorno"
FE-SV-4,FE-SV-4.4,Evento Operaciones Especiales backend,MHEventoOperacionesEspeciales + transmisión MH,13,High,PR-09,"fe-sv,eventos"
FE-SV-4,FE-SV-4.5,UI Operaciones Especiales,Captura control interno / factura simplificada,8,High,PR-09,"fe-sv,frontend"
FE-SV-4,FE-SV-4.6,Invalidación de eventos hijos,Extender MHAnulacion para invalidar Retorno y Op. Especiales,5,High,PR-09,"fe-sv,invalidacion"
FE-SV-4,FE-SV-4.7,PDF/JSON eventos + entrega,Plantillas PDF eventos y envío receptor,5,Medium,PR-09,"fe-sv,pdf"
FE-SV-5A,FE-SV-5A.1,Integrar CRE 07 en ElSalvadorDteService,Cablear MHComprobanteRetencion existente en servicio y controller,8,High,PR-10,"fe-sv,dte-07"
FE-SV-5A,FE-SV-5A.2,Rutas y requests CRE 07,GenerarDTERetencionRequest + rutas MH.php + EnviarDTERequest incluir 07,5,High,PR-10,"fe-sv,dte-07"
FE-SV-5A,FE-SV-5A.3,UI emisión retención,Pantalla retenciones desde venta/compra con IVA retenido,8,High,PR-10,"fe-sv,frontend,dte-07"
FE-SV-5A,FE-SV-5A.4,PDF Comprobante Retención,DTE-Comprobante-Retencion.blade.php + envío email,5,High,PR-10,"fe-sv,pdf,dte-07"
FE-SV-5A,FE-SV-5A.5,Libro IVA retenciones,Impacto F07 / anexos SV si aplica CRE,5,Medium,PR-10,"fe-sv,contabilidad"
FE-SV-5B,FE-SV-5B.1,Modelo MHNotaRemision DTE 04,Builder JSON v2.0 nota remisión,8,High,PR-11,"fe-sv,dte-04"
FE-SV-5B,FE-SV-5B.2,Módulo traslados inventario,Tablas traslados + controller + emisión 04 desde traslado,13,High,PR-11,"fe-sv,inventario,dte-04"
FE-SV-5B,FE-SV-5B.3,PDF y transmisión remisión,DTE-Nota-Remision.blade.php + flujo E2E ambiente 00,5,High,PR-11,"fe-sv,dte-04"
FE-SV-5B,FE-SV-5B.4,Pruebas masivas tipo 04,Caso base en MHPruebasMasivasService,3,Medium,PR-11,"fe-sv,test,dte-04"
FE-SV-5C,FE-SV-5C.1,Modelo MHComprobanteLiquidacion DTE 08,Builder JSON v2.0 liquidación,8,Medium,PR-12,"fe-sv,dte-08"
FE-SV-5C,FE-SV-5C.2,UI liquidaciones compras agro,Módulo liquidaciones + captura operaciones,13,Medium,PR-12,"fe-sv,frontend,dte-08"
FE-SV-5C,FE-SV-5C.3,PDF liquidación + libros,DTE-Liquidacion.blade.php + contabilidad,5,Medium,PR-12,"fe-sv,dte-08"
FE-SV-5D,FE-SV-5D.1,Modelo MHLiquidacionContable DTE 09,Builder JSON v2.0 doc contable liquidación,8,Medium,PR-12,"fe-sv,dte-09"
FE-SV-5D,FE-SV-5D.2,Vínculo 08-09 consignación,Relación documentoRelacionado entre 08 y 09,5,Medium,PR-12,"fe-sv,dte-09"
FE-SV-5D,FE-SV-5D.3,PDF y transmisión DTE 09,DTE-Liquidacion-Contable.blade.php + E2E,5,Medium,PR-12,"fe-sv,dte-09"
FE-SV-5E,FE-SV-5E.1,Modelo MHComprobanteDonacion DTE 15,Builder JSON v2.0 donación,8,Medium,PR-13,"fe-sv,dte-15"
FE-SV-5E,FE-SV-5E.2,UI donaciones,Captura donante donatario montos deducibles,13,Medium,PR-13,"fe-sv,frontend,dte-15"
FE-SV-5E,FE-SV-5E.3,PDF y transmisión donación,DTE-Donacion.blade.php + E2E ambiente 00,5,Medium,PR-13,"fe-sv,dte-15"
FE-SV-5E,FE-SV-5E.4,Integración contable donaciones,Asiento / registro contable donación deducible,5,Low,PR-13,"fe-sv,contabilidad"
FE-SV-5F,FE-SV-5F.1,Matriz permisos tipos DTE por empresa,Config qué tipos puede emitir cada empresa SV,5,High,PR-14,"fe-sv,config"
FE-SV-5F,FE-SV-5F.2,Selector unificado 11 tipos UI,documento-nombre-options + MH.service métodos unificados,8,High,PR-14,"fe-sv,frontend"
FE-SV-5F,FE-SV-5F.3,Import DTE recibidos tipos nuevos,Mapeo 04/07/08/09/15 en módulo descarga DTE,8,High,PR-14,"fe-sv,dte-import"
FE-SV-5F,FE-SV-5F.4,Pruebas masivas 11 tipos,Casos base todos los tipos en MHPruebasMasivasService,8,High,PR-15,"fe-sv,test"
FE-SV-6,FE-SV-6.1,Certificación ambiente 00→01,Checklist transmisión sello producción por tipo,8,Highest,PR-15,"fe-sv,certificacion"
FE-SV-6,FE-SV-6.2,Rollout gradual fe_sv_schema_version,Script oleadas activación v2 por empresa,5,High,PR-15,"fe-sv,rollout"
FE-SV-6,FE-SV-6.3,Monitoreo rechazos MH,Log fe-sv-mh.log + alertas rechazos post-deploy,5,High,PR-15,"fe-sv,ops"
FE-SV-6,FE-SV-6.4,Documentación Confluence usuario,Guías emisión por tipo + eventos + invalidación,5,Medium,PR-15,"fe-sv,docs"
FE-SV-6,FE-SV-6.5,Code freeze 15 nov 2026,Tag release fe-sv-2.0-rc antes go-live 1 dic,2,High,PR-15,"fe-sv,release"
